game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
85275,15,11,11,12,16,10,3,3,45,36,1
85276,14,16,11,14,9,11,6,0,40,41,2
85277,13,25,11,11,13,16,6,0,43,52,2
85278,16,20,13,11,12,14,6,0,47,45,1
85279,11,14,12,17,11,21,3,3,37,55,2
85280,10,4,10,17,25,19,6,0,51,40,1
85281,14,9,12,14,16,13,3,3,45,39,1
85282,17,19,12,16,7,21,6,0,42,56,2
85283,13,18,7,20,15,15,0,6,35,59,2
85284,15,14,14,10,12,17,0,6,41,47,2
85285,17,24,16,20,17,21,0,6,50,71,2
85286,18,12,13,13,14,22,6,0,51,47,1
85287,9,18,9,23,18,15,6,0,42,56,2
85288,22,19,9,10,12,17,3,3,46,49,2
85289,21,27,20,19,11,23,6,0,58,69,2
85290,11,23,14,21,12,11,0,6,37,61,2
85291,15,19,17,19,14,22,6,0,52,60,2
85292,19,18,14,14,6,10,6,0,45,42,1
85293,16,14,9,12,12,15,6,0,43,41,1
85294,12,20,25,8,16,13,0,6,53,47,1
85295,14,16,11,17,12,14,0,6,37,53,2
85296,16,28,17,17,10,11,6,0,49,56,2
85297,14,20,13,6,13,25,6,0,46,51,2
85298,17,10,23,11,12,18,6,0,58,39,1
85299,12,10,25,10,18,11,3,3,58,34,1
85300,9,24,16,11,14,16,0,6,39,57,2
85301,12,9,25,20,10,18,0,6,47,53,2
85302,13,13,17,25,19,27,3,3,52,68,2
85303,17,8,22,29,15,10,0,6,54,53,1
85304,14,18,17,21,11,25,6,0,48,64,2
85305,20,12,22,22,11,5,6,0,59,39,1
85306,10,17,9,12,20,21,3,3,42,53,2
85307,18,16,7,19,23,14,0,6,48,55,2
85308,14,23,19,12,14,15,3,3,50,53,2
85309,9,18,14,14,17,16,3,3,43,51,2
85310,19,14,18,20,15,19,3,3,55,56,2
85311,9,12,20,16,11,14,3,3,43,45,2
85312,9,17,12,14,17,16,3,3,41,50,2
85313,11,8,29,9,11,15,6,0,57,32,1
85314,21,18,13,11,21,18,3,3,58,50,1
85315,9,24,16,19,17,25,3,3,45,71,2
85316,15,9,15,17,21,13,3,3,54,42,1
85317,16,25,9,20,11,10,6,0,42,55,2
85318,21,10,15,20,11,20,6,0,53,50,1
85319,13,21,19,15,9,14,6,0,47,50,2
85320,23,11,9,24,14,11,3,3,49,49,0
85321,13,16,10,13,12,17,6,0,41,46,2
85322,15,14,11,19,17,8,6,0,49,41,1
85323,18,22,15,10,21,15,6,0,60,47,1
85324,10,30,19,20,15,7,3,3,47,60,2
85325,14,14,13,19,10,14,0,6,37,53,2
85326,13,21,22,21,22,13,3,3,60,58,1
85327,16,15,11,21,17,27,6,0,50,63,2
85328,13,17,9,21,11,13,0,6,33,57,2
85329,16,23,14,17,10,17,0,6,40,63,2
85330,13,9,14,11,19,21,3,3,49,44,1
85331,18,19,9,17,16,18,3,3,46,57,2
85332,9,17,17,14,12,14,3,3,41,48,2
85333,20,16,11,14,13,30,3,3,47,63,2
85334,22,20,11,23,13,15,0,6,46,64,2
85335,14,23,8,17,18,10,6,0,46,50,2
85336,13,9,12,16,12,9,6,0,43,34,1
85337,19,18,16,16,13,26,6,0,54,60,2
85338,9,25,11,17,24,21,3,3,47,66,2
85339,14,18,9,12,14,13,6,0,43,43,0
85340,21,18,21,13,9,17,0,6,51,54,2
85341,15,14,11,25,26,11,0,6,52,56,2
85342,10,20,19,21,16,17,3,3,48,61,2
85343,17,13,18,15,10,17,3,3,48,48,0
85344,13,22,18,20,12,15,6,0,49,57,2
85345,15,25,8,13,13,14,6,0,42,52,2
85346,24,24,8,22,16,16,3,3,51,65,2
85347,10,14,16,3,15,7,6,0,47,24,1
85348,18,18,10,19,15,20,0,6,43,63,2
85349,23,20,15,30,19,12,0,6,57,68,2
85350,10,13,23,15,18,14,3,3,54,45,1
85351,18,20,16,16,11,14,0,6,45,56,2
85352,15,16,11,15,17,23,3,3,46,57,2
85353,13,16,15,8,9,19,6,0,43,43,0
85354,11,7,19,22,16,15,0,6,46,50,2
85355,11,17,9,17,10,20,3,3,33,57,2
85356,12,13,20,14,16,20,3,3,51,50,1
85357,7,26,12,15,21,18,0,6,40,65,2
85358,22,13,12,12,8,15,6,0,48,40,1
85359,12,13,11,13,10,18,3,3,36,47,2
85360,15,12,14,16,19,20,0,6,48,54,2
85361,20,14,10,18,15,9,3,3,48,44,1
85362,12,19,19,16,9,14,0,6,40,55,2
85363,22,15,7,19,10,19,6,0,45,53,2
85364,14,12,15,23,14,7,3,3,46,45,1
85365,15,6,13,12,14,17,6,0,48,35,1
85366,17,18,24,9,16,13,0,6,57,46,1
85367,15,23,10,12,14,11,6,0,45,46,2
85368,15,15,9,30,14,12,0,6,38,63,2
85369,13,15,17,12,20,9,6,0,56,36,1
85370,18,27,19,19,10,13,0,6,47,65,2
85371,13,21,8,12,14,19,6,0,41,52,2
85372,21,12,14,14,13,23,6,0,54,49,1
85373,11,19,4,18,22,9,0,6,37,52,2
85374,12,9,10,19,14,16,3,3,39,47,2
85375,10,17,17,18,14,20,3,3,44,58,2
85376,14,23,13,23,14,7,3,3,44,56,2
85377,13,9,14,16,20,18,3,3,50,46,1
85378,16,19,13,15,14,13,6,0,49,47,1
85379,11,14,21,7,7,15,3,3,42,39,1
85380,12,9,11,12,22,12,6,0,51,33,1
85381,16,15,12,20,22,12,3,3,53,50,1
85382,14,12,12,26,14,13,3,3,43,54,2
85383,13,15,16,15,12,27,3,3,44,60,2
85384,21,14,17,20,19,20,0,6,57,60,2
85385,15,15,10,7,9,21,0,6,34,49,2
85386,19,14,19,13,10,32,6,0,54,59,2
85387,11,19,13,11,7,14,0,6,31,50,2
85388,25,15,22,16,16,13,0,6,63,50,1
85389,10,20,16,12,15,22,6,0,47,54,2
85390,19,13,20,16,11,17,3,3,53,49,1
85391,17,21,17,18,15,19,3,3,52,61,2
85392,15,18,28,10,8,11,6,0,57,39,1
85393,22,13,17,10,12,17,3,3,54,43,1
85394,16,8,18,24,12,13,6,0,52,45,1
85395,11,14,18,14,23,17,6,0,58,45,1
85396,11,15,10,23,12,23,6,0,39,61,2
85397,12,14,22,14,25,13,6,0,65,41,1
85398,17,17,16,10,13,21,0,6,46,54,2
85399,17,20,15,15,6,28,6,0,44,63,2
85400,9,12,14,11,13,15,0,6,36,44,2
85401,14,18,16,15,16,12,0,6,46,51,2
85402,17,12,13,14,11,20,6,0,47,46,1
85403,14,12,21,17,20,9,0,6,55,44,1
85404,12,24,13,23,13,4,0,6,38,57,2
85405,14,11,22,16,13,16,3,3,52,46,1
85406,9,27,20,27,13,9,3,3,45,66,2
85407,17,26,17,19,20,13,0,6,54,64,2
85408,9,12,12,20,20,27,0,6,41,65,2
85409,23,9,13,6,11,16,6,0,53,31,1
85410,19,25,12,17,15,7,0,6,46,55,2
85411,7,16,20,14,13,22,0,6,40,58,2
85412,22,17,9,16,17,9,0,6,48,48,0
85413,16,14,13,13,9,11,0,6,38,44,2
85414,17,20,16,18,15,13,0,6,48,57,2
85415,17,23,13,21,17,18,0,6,47,68,2
85416,17,15,12,10,14,16,6,0,49,41,1
85417,15,23,8,15,20,18,0,6,43,62,2
85418,20,13,7,16,8,12,6,0,41,41,0
85419,11,17,13,26,13,9,6,0,43,52,2
85420,9,14,17,22,14,23,3,3,43,62,2
85421,6,9,12,23,18,23,0,6,36,61,2
85422,15,13,20,9,9,17,6,0,50,39,1
85423,20,21,16,12,12,10,6,0,54,43,1
85424,13,16,17,13,7,22,3,3,40,54,2
85425,12,16,17,25,15,20,3,3,47,64,2
85426,16,12,23,15,18,19,6,0,63,46,1
85427,15,23,13,7,10,21,0,6,38,57,2
85428,15,21,23,14,13,21,0,6,51,62,2
85429,12,9,15,13,14,15,6,0,47,37,1
85430,10,18,16,17,11,14,3,3,40,52,2
85431,11,18,11,8,20,27,3,3,45,56,2
85432,19,15,12,17,13,18,3,3,47,53,2
85433,17,14,15,20,16,12,6,0,54,46,1
85434,10,34,17,13,17,8,0,6,44,61,2
85435,11,14,16,17,14,26,6,0,47,57,2
85436,23,25,14,17,20,24,6,0,63,66,2
85437,20,11,16,20,18,15,0,6,54,52,1
85438,26,27,15,12,13,21,0,6,54,66,2
