game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
86104,24,17,20,16,13,10,6,0,63,43,1
86105,18,14,11,15,24,19,0,6,53,54,2
86106,24,16,23,17,12,17,6,0,65,50,1
86107,19,14,16,17,16,11,6,0,57,42,1
86108,15,20,12,9,9,24,6,0,42,53,2
86109,8,19,19,16,18,24,6,0,51,59,2
86110,19,11,16,13,15,14,0,6,50,44,1
86111,17,14,10,18,24,16,0,6,51,54,2
86112,15,25,26,15,20,17,0,6,61,63,2
86113,15,23,14,14,11,16,6,0,46,53,2
86114,23,14,18,20,8,14,0,6,49,54,2
86115,13,10,14,18,24,10,0,6,51,44,1
86116,14,17,19,20,12,6,3,3,48,46,1
86117,9,18,12,13,16,22,6,0,43,53,2
86118,26,15,11,17,13,16,0,6,50,54,2
86119,10,12,18,14,22,19,6,0,56,45,1
86120,11,15,22,17,21,17,0,6,54,55,2
86121,24,17,11,19,18,16,0,6,53,58,2
86122,18,15,18,13,17,21,6,0,59,49,1
86123,20,15,13,25,14,12,3,3,50,55,2
86124,16,9,20,20,17,13,0,6,53,48,1
86125,22,11,24,15,10,25,6,0,62,51,1
86126,20,22,15,15,19,16,6,0,60,53,1
86127,10,18,15,19,20,19,6,0,51,56,2
86128,14,18,29,17,17,11,3,3,63,49,1
86129,15,13,13,16,19,14,3,3,50,46,1
86130,13,11,18,9,20,20,0,6,51,46,1
86131,15,17,15,12,9,17,6,0,45,46,2
86132,15,11,23,27,22,21,3,3,63,62,1
86133,19,9,16,14,12,9,3,3,50,35,1
86134,15,18,13,23,21,21,0,6,49,68,2
86135,14,23,12,19,16,14,3,3,45,59,2
86136,13,17,17,16,18,18,6,0,54,51,1
86137,14,19,21,8,14,7,0,6,49,40,1
86138,15,9,15,20,10,9,3,3,43,41,1
86139,16,12,25,15,14,21,6,0,61,48,1
86140,13,14,12,11,19,18,6,0,50,43,1
86141,21,16,17,19,17,19,3,3,58,57,1
86142,15,9,15,25,25,15,0,6,55,55,0
86143,13,10,13,21,9,22,6,0,41,53,2
86144,22,13,27,25,17,19,0,6,66,63,1
86145,21,21,10,13,13,14,0,6,44,54,2
86146,24,26,13,22,10,16,3,3,50,67,2
86147,17,26,29,22,21,13,3,3,70,64,1
86148,12,25,16,12,17,9,6,0,51,46,1
86149,22,15,11,23,8,20,6,0,47,58,2
86150,14,22,22,23,21,11,6,0,63,56,1
86151,13,24,18,9,17,15,3,3,51,51,0
86152,14,7,14,9,10,16,0,6,38,38,0
86153,16,19,15,14,11,24,6,0,48,57,2
86154,18,16,26,22,7,15,6,0,57,53,1
86155,13,25,13,20,20,10,6,0,52,55,2
86156,14,20,17,16,21,15,0,6,52,57,2
86157,16,16,16,17,17,18,3,3,52,54,2
86158,15,20,9,22,10,18,6,0,40,60,2
86159,17,12,14,22,16,22,6,0,53,56,2
86160,14,15,16,13,18,20,6,0,54,48,1
86161,15,16,12,14,18,12,6,0,51,42,1
86162,29,22,12,18,11,19,6,0,58,59,2
86163,13,9,25,15,14,13,6,0,58,37,1
86164,8,18,13,21,23,21,6,0,50,60,2
86165,12,16,13,16,22,9,0,6,47,47,0
86166,12,12,17,18,17,14,0,6,46,50,2
86167,15,11,22,26,12,21,3,3,52,61,2
86168,9,15,15,20,18,14,3,3,45,52,2
86169,21,21,20,16,29,21,3,3,73,61,1
86170,13,22,12,22,21,18,3,3,49,65,2
86171,13,14,13,12,11,14,3,3,40,43,2
86172,19,14,18,18,21,16,3,3,61,51,1
86173,22,20,14,25,11,23,3,3,50,71,2
86174,12,18,16,8,24,24,6,0,58,50,1
86175,20,10,18,19,15,11,6,0,59,40,1
86176,14,15,20,7,18,18,6,0,58,40,1
86177,26,23,15,26,16,13,6,0,63,62,1
86178,22,21,6,11,7,21,6,0,41,53,2
86179,15,24,26,11,19,12,6,0,66,47,1
86180,11,10,9,24,20,18,6,0,46,52,2
86181,16,9,19,30,8,20,6,0,49,59,2
86182,14,10,16,15,17,13,6,0,53,38,1
86183,16,15,19,9,20,7,0,6,55,37,1
86184,24,14,15,13,14,17,0,6,53,50,1
86185,9,12,13,21,20,20,0,6,42,59,2
86186,14,15,15,7,11,21,6,0,46,43,1
86187,17,16,20,15,14,23,6,0,57,54,1
86188,18,17,20,11,11,7,3,3,52,38,1
86189,11,27,15,16,12,16,3,3,41,62,2
86190,10,13,16,9,19,21,6,0,51,43,1
86191,13,20,20,17,25,15,0,6,58,58,0
86192,15,20,22,18,20,10,0,6,57,54,1
86193,14,19,19,9,25,18,3,3,61,49,1
86194,15,9,11,20,21,19,6,0,53,48,1
86195,15,28,14,15,6,9,0,6,35,58,2
86196,13,20,13,14,19,23,6,0,51,57,2
86197,16,9,27,18,17,11,6,0,66,38,1
86198,13,27,23,10,11,18,3,3,50,58,2
86199,9,19,17,18,22,7,0,6,48,50,2
86200,18,18,9,17,17,12,6,0,50,47,1
86201,16,20,19,15,18,15,0,6,53,56,2
86202,13,14,22,12,19,13,3,3,57,42,1
86203,22,17,20,12,25,20,0,6,67,55,1
86204,29,19,15,26,9,16,0,6,53,67,2
86205,12,18,24,17,10,16,0,6,46,57,2
86206,24,19,17,18,14,16,3,3,58,56,1
86207,10,22,20,22,24,17,0,6,54,67,2
86208,12,21,19,21,17,15,3,3,51,60,2
86209,18,14,16,19,17,13,0,6,51,52,2
86210,19,18,20,25,9,15,0,6,48,64,2
86211,9,20,9,29,16,17,0,6,34,72,2
86212,24,17,33,14,16,19,3,3,76,53,1
86213,11,14,13,16,17,23,3,3,44,56,2
86214,12,16,9,18,17,13,0,6,38,53,2
86215,16,18,9,13,23,11,0,6,48,48,0
86216,20,13,19,14,24,12,0,6,63,45,1
86217,16,17,12,17,29,13,0,6,57,53,1
86218,10,17,23,18,23,21,6,0,62,56,1
86219,15,6,23,14,14,16,3,3,55,39,1
86220,15,27,14,12,13,15,3,3,45,57,2
86221,17,8,11,24,18,7,3,3,49,42,1
86222,17,13,19,16,17,14,6,0,59,43,1
86223,8,19,18,24,17,14,3,3,46,60,2
86224,26,12,9,24,15,9,0,6,50,51,2
86225,15,10,12,12,12,17,3,3,42,42,0
86226,10,7,25,24,12,20,3,3,50,54,2
86227,12,20,24,11,9,8,6,0,51,39,1
86228,22,11,18,11,22,12,6,0,68,34,1
86229,15,16,14,16,21,26,3,3,53,61,2
86230,22,7,20,15,9,13,6,0,57,35,1
86231,19,13,9,15,13,20,0,6,41,54,2
86232,13,11,15,16,20,12,6,0,54,39,1
86233,17,14,24,15,18,17,3,3,62,49,1
86234,19,9,19,16,25,9,0,6,63,40,1
86235,8,16,12,21,7,14,0,6,27,57,2
86236,20,14,11,13,22,15,6,0,59,42,1
86237,25,13,6,11,17,11,6,0,54,35,1
86238,17,11,13,19,32,13,0,6,62,49,1
86239,10,13,14,24,19,15,6,0,49,52,2
86240,25,24,20,24,12,12,3,3,60,63,2
86241,18,23,9,9,18,13,3,3,48,48,0
86242,14,16,20,14,30,13,0,6,64,49,1
86243,16,13,15,11,21,12,3,3,55,39,1
86244,11,19,17,19,14,14,6,0,48,52,2
86245,18,14,18,18,18,22,6,0,60,54,1
86246,20,15,24,14,12,21,0,6,56,56,0
86247,14,13,20,18,27,13,0,6,61,50,1
86248,19,17,23,12,19,11,3,3,64,43,1
86249,17,17,14,20,14,16,3,3,48,56,2
86250,13,22,21,13,11,11,3,3,48,49,2
86251,19,16,23,15,26,21,0,6,68,58,1
86252,16,20,6,13,18,16,0,6,40,55,2
86253,18,9,12,19,20,22,6,0,56,50,1
86254,10,18,19,24,15,21,6,0,50,63,2
86255,28,23,18,20,16,9,6,0,68,52,1
86256,21,10,24,15,17,18,6,0,68,43,1
86257,20,22,25,19,17,12,0,6,62,59,1
86258,27,13,16,25,16,15,0,6,59,59,0
86259,16,15,17,23,20,21,3,3,56,62,2
86260,14,19,7,19,9,16,6,0,36,54,2
86261,16,21,15,7,20,13,3,3,54,44,1
86262,9,10,9,19,22,22,6,0,46,51,2
86263,16,26,16,19,8,17,0,6,40,68,2
86264,12,16,10,11,13,16,6,0,41,43,2
86265,17,19,21,20,10,15,0,6,48,60,2
86266,15,18,16,18,6,20,0,6,37,62,2
86267,13,17,17,13,22,15,6,0,58,45,1
86268,18,14,6,21,12,15,0,6,36,56,2
86269,13,10,13,30,8,19,3,3,37,62,2
86270,26,13,23,18,15,11,3,3,67,45,1
86271,11,23,24,12,20,18,0,6,55,59,2
86272,22,24,10,7,12,13,3,3,47,47,0
86273,22,16,9,13,19,12,0,6,50,47,1
86274,13,19,18,16,16,20,3,3,50,58,2
86275,12,14,17,14,19,25,6,0,54,53,1
86276,21,20,18,23,9,9,6,0,54,52,1
86277,18,16,10,14,28,9,3,3,59,42,1
86278,26,17,13,22,16,18,3,3,58,60,2
86279,13,23,23,24,7,23,6,0,49,70,2
86280,20,12,19,24,26,25,0,6,65,67,2
86281,15,12,30,11,18,6,0,6,63,35,1
86282,13,16,17,24,19,6,3,3,52,49,1
86283,13,15,22,16,19,18,3,3,57,52,1
86284,19,12,14,23,15,14,3,3,51,52,2
86285,14,17,20,15,20,12,0,6,54,50,1
86286,26,18,20,19,11,21,3,3,60,61,2
86287,20,14,12,24,7,16,6,0,45,54,2
86288,21,19,18,18,16,13,3,3,58,53,1
86289,8,24,20,17,15,18,3,3,46,62,2
86290,16,11,22,11,17,13,6,0,61,35,1
86291,21,12,17,23,13,7,0,6,51,48,1
86292,15,19,14,10,13,13,0,6,42,48,2
86293,21,18,22,21,15,19,6,0,64,58,1
86294,17,10,16,18,12,18,6,0,51,46,1
86295,18,13,14,14,12,17,0,6,44,50,2
86296,24,21,16,13,16,18,3,3,59,55,1
86297,15,20,22,16,30,12,0,6,67,54,1
86298,12,11,20,24,13,20,6,0,51,55,2
86299,13,20,18,17,17,18,3,3,51,58,2
86300,18,20,15,18,18,15,0,6,51,59,2
86301,24,10,22,21,20,12,6,0,72,43,1
86302,22,14,12,23,20,11,3,3,57,51,1
86303,12,20,15,21,30,10,0,6,57,57,0
86304,21,8,19,13,24,13,3,3,67,37,1
86305,17,26,21,10,7,16,6,0,51,52,2
86306,16,15,17,15,13,26,3,3,49,59,2
86307,14,6,18,11,10,15,6,0,48,32,1
86308,26,19,14,16,11,16,0,6,51,57,2
86309,15,14,25,13,17,12,6,0,63,39,1
86310,25,20,18,13,14,13,3,3,60,49,1
86311,19,11,10,20,19,23,0,6,48,60,2
86312,21,15,26,12,19,24,6,0,72,51,1
86313,13,19,26,20,12,27,6,0,57,66,2
86314,12,17,20,17,15,13,6,0,53,47,1
86315,14,15,17,13,27,11,0,6,58,45,1
86316,16,21,9,17,7,13,6,0,38,51,2
86317,15,11,7,23,12,17,6,0,40,51,2
86318,14,15,18,28,28,14,0,6,60,63,2
86319,16,16,21,12,12,13,3,3,52,44,1
86320,20,22,11,27,13,21,6,0,50,70,2
86321,13,18,14,15,19,18,0,6,46,57,2
86322,14,16,17,12,18,12,0,6,49,46,1
86323,12,21,21,18,20,14,3,3,56,56,0
86324,15,24,12,23,27,16,6,0,60,63,2
86325,7,21,17,14,18,15,0,6,42,56,2
86326,9,25,16,14,9,26,3,3,37,68,2
86327,18,21,16,18,23,21,3,3,60,63,2
86328,17,21,10,11,24,11,0,6,51,49,1
86329,23,13,15,23,14,24,6,0,58,60,2
86330,15,14,16,28,13,11,6,0,50,53,2
86331,21,8,15,24,13,15,3,3,52,50,1
86332,16,24,18,16,12,22,0,6,46,68,2
