game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
79193,22,16,15,25,11,17,6,0,54,58,2
79194,23,19,12,13,20,14,3,3,58,49,1
79195,19,23,19,15,14,14,6,0,58,52,1
79196,17,15,16,25,12,16,3,3,48,59,2
79197,17,11,23,12,21,8,3,3,64,34,1
79198,12,16,14,16,15,12,0,6,41,50,2
79199,17,14,23,10,19,15,0,6,59,45,1
79200,15,12,19,15,22,24,3,3,59,54,1
79201,16,11,11,19,29,13,0,6,56,49,1
79202,12,21,17,18,15,15,3,3,47,57,2
79203,21,13,16,20,12,11,6,0,55,44,1
79204,16,19,21,9,12,20,0,6,49,54,2
79205,14,20,16,26,14,18,6,0,50,64,2
79206,20,17,9,15,19,16,3,3,51,51,0
79207,16,12,11,19,15,31,6,0,48,62,2
79208,12,23,22,16,15,12,3,3,52,54,2
79209,20,15,11,10,14,16,3,3,48,44,1
79210,23,17,14,13,16,16,6,0,59,46,1
79211,19,19,17,17,12,18,3,3,51,57,2
79212,9,10,14,17,23,13,0,6,46,46,0
79213,19,12,10,14,23,21,0,6,52,53,2
79214,9,13,19,10,20,14,3,3,51,40,1
79215,23,21,20,14,14,12,6,0,63,47,1
79216,13,14,10,13,23,17,3,3,49,47,1
79217,15,13,17,23,22,15,6,0,60,51,1
79218,12,13,14,27,15,18,0,6,41,64,2
79219,13,11,9,14,24,11,0,6,46,42,1
79220,11,12,9,11,27,20,0,6,47,49,2
79221,24,21,16,16,21,11,0,6,61,54,1
79222,12,11,12,11,16,11,3,3,43,36,1
79223,18,27,13,17,17,14,0,6,48,64,2
79224,20,22,21,17,11,14,6,0,58,53,1
79225,18,19,13,12,20,15,3,3,54,49,1
79226,17,15,12,14,13,21,3,3,45,53,2
79227,4,8,13,14,23,15,6,0,46,37,1
79228,12,19,14,18,19,13,0,6,45,56,2
79229,17,19,13,14,14,14,3,3,47,50,2
79230,25,12,12,8,17,13,3,3,57,36,1
79231,13,11,12,20,24,16,6,0,55,47,1
79232,12,12,19,16,14,8,6,0,51,36,1
79233,16,12,12,6,8,18,3,3,39,39,0
79234,11,24,15,14,14,17,6,0,46,55,2
79235,15,13,17,21,8,17,6,0,46,51,2
79236,13,20,21,20,13,14,0,6,47,60,2
79237,16,27,26,21,12,12,3,3,57,63,2
79238,13,13,11,12,14,17,6,0,44,42,1
79239,24,15,18,22,11,11,6,0,59,48,1
79240,16,17,18,14,12,13,0,6,46,50,2
79241,12,31,16,8,19,18,0,6,47,63,2
79242,21,16,15,21,15,20,3,3,54,60,2
79243,14,20,12,19,25,21,0,6,51,66,2
79244,21,14,15,11,14,22,0,6,50,53,2
79245,18,19,15,19,22,16,0,6,55,60,2
