game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
19051,17,20,24,12,12,19,0,6,53,57,2
19052,19,17,18,14,17,11,0,6,54,48,1
19053,17,13,23,14,12,21,3,3,55,51,1
19054,23,12,15,12,22,11,0,6,60,41,1
19055,15,9,24,15,22,20,3,3,64,47,1
19056,19,16,14,24,18,7,0,6,51,53,2
19057,18,13,19,13,17,13,3,3,57,42,1
19058,16,13,22,12,18,17,3,3,59,45,1
19059,18,10,12,16,16,16,6,0,52,42,1
19060,18,9,17,28,16,19,3,3,54,59,2
19061,29,15,13,17,21,20,0,6,63,58,1
19062,16,12,22,11,13,12,6,0,57,35,1
19063,9,11,24,22,16,15,6,0,55,48,1
19064,13,14,17,12,13,11,0,6,43,43,0
19065,9,21,14,17,12,24,3,3,38,65,2
19066,13,15,36,16,18,9,0,6,67,46,1
19067,14,13,13,27,12,15,0,6,39,61,2
19068,17,15,13,12,14,12,0,6,44,45,2
19069,20,13,16,27,15,13,3,3,54,56,2
19070,25,25,19,23,10,20,6,0,60,68,2
19071,28,20,13,16,23,13,0,6,64,55,1
19072,13,7,17,18,17,13,0,6,47,44,1
19073,24,14,12,17,10,17,0,6,46,54,2
19074,19,17,18,18,12,11,3,3,52,49,1
19075,14,9,24,17,23,12,0,6,61,44,1
19076,16,19,18,18,12,17,3,3,49,57,2
19077,17,21,21,15,15,14,6,0,59,50,1
19078,19,16,16,16,20,15,0,6,55,53,1
19079,11,19,10,13,11,6,0,6,32,44,2
19080,14,25,15,14,18,19,3,3,50,61,2
19081,21,28,9,17,21,11,6,0,57,56,1
19082,14,17,18,13,26,11,0,6,58,47,1
19083,17,26,24,18,11,22,3,3,55,69,2
19084,13,12,17,15,24,27,3,3,57,57,0
19085,10,17,10,25,17,16,3,3,40,61,2
19086,19,18,13,24,13,17,6,0,51,59,2
19087,18,10,13,21,18,23,3,3,52,57,2
19088,22,17,10,16,18,11,6,0,56,44,1
19089,20,9,9,11,17,9,3,3,49,32,1
19090,23,11,6,17,10,11,6,0,45,39,1
19091,10,14,9,8,26,29,6,0,51,51,0
19092,17,18,20,10,17,16,0,6,54,50,1
19093,18,9,22,13,13,14,6,0,59,36,1
19094,28,21,11,15,11,12,0,6,50,54,2
19095,16,18,9,17,18,23,3,3,46,61,2
19096,20,9,30,18,19,16,3,3,72,46,1
19097,14,17,14,21,19,10,3,3,50,51,2
19098,18,14,13,16,9,17,6,0,46,47,2
19099,11,11,9,14,23,12,6,0,49,37,1
19100,19,17,13,17,16,24,6,0,54,58,2
19101,16,11,19,16,16,17,6,0,57,44,1
19102,21,15,13,14,15,12,3,3,52,44,1
19103,13,9,22,16,20,10,0,6,55,41,1
19104,18,24,12,25,12,14,6,0,48,63,2
19105,6,12,19,24,10,9,0,6,35,51,2
19106,16,18,10,16,12,19,3,3,41,56,2
19107,23,15,24,22,21,15,0,6,68,58,1
19108,15,13,16,19,14,21,6,0,51,53,2
19109,18,15,22,14,12,14,3,3,55,46,1
19110,12,14,20,17,16,16,6,0,54,47,1
19111,20,11,20,8,16,6,3,3,59,28,1
19112,10,15,11,18,16,17,6,0,43,50,2
19113,19,15,14,16,12,15,6,0,51,46,1
19114,24,17,22,7,15,16,0,6,61,46,1
19115,14,7,23,16,16,16,6,0,59,39,1
19116,11,6,19,11,20,21,6,0,56,38,1
19117,11,9,20,15,23,14,3,3,57,41,1
19118,16,17,11,12,17,14,0,6,44,49,2
19119,12,12,19,13,19,20,6,0,56,45,1
19120,23,23,21,18,16,24,6,0,66,65,1
19121,20,10,15,17,19,11,3,3,57,41,1
19122,15,25,15,16,16,23,6,0,52,64,2
19123,11,18,12,15,16,11,0,6,39,50,2
19124,11,16,14,11,12,17,6,0,43,44,2
19125,16,15,22,13,13,20,6,0,57,48,1
19126,17,8,23,17,15,9,0,6,55,40,1
19127,14,21,14,14,23,10,3,3,54,48,1
19128,18,14,23,11,10,16,6,0,57,41,1
19129,22,24,22,10,14,13,0,6,58,53,1
19130,15,12,20,25,17,15,6,0,58,52,1
19131,23,16,25,17,11,20,6,0,65,53,1
19132,26,25,15,14,19,9,0,6,60,54,1
19133,11,19,21,13,11,27,6,0,49,59,2
19134,12,15,28,7,23,14,6,0,69,36,1
19135,22,16,9,15,18,15,0,6,49,52,2
19136,25,17,10,11,11,21,0,6,46,55,2
19137,22,18,19,8,22,14,0,6,63,46,1
19138,7,19,23,21,19,16,3,3,52,59,2
19139,13,21,14,15,17,22,0,6,44,64,2
19140,13,20,16,15,14,17,6,0,49,52,2
19141,17,21,19,11,10,7,3,3,49,42,1
19142,24,18,15,12,6,17,6,0,51,47,1
19143,22,17,19,14,8,13,3,3,52,47,1
19144,17,19,11,12,13,11,3,3,44,45,2
19145,11,10,24,18,25,15,0,6,60,49,1
19146,13,9,17,12,17,19,3,3,50,43,1
19147,13,16,16,10,28,18,0,6,57,50,1
19148,11,12,20,12,10,12,0,6,41,42,2
19149,14,17,10,14,17,28,6,0,47,59,2
19150,15,23,11,20,16,20,3,3,45,66,2
19151,7,19,21,23,21,12,0,6,49,60,2
19152,13,13,26,17,14,30,6,0,59,60,2
19153,12,18,15,20,25,17,3,3,55,58,2
19154,16,19,12,18,12,23,3,3,43,63,2
19155,9,14,12,14,12,16,6,0,39,44,2
19156,24,17,20,14,24,13,0,6,68,50,1
19157,20,16,13,15,18,16,0,6,51,53,2
19158,15,22,20,24,17,19,6,0,58,65,2
19159,16,24,23,13,13,16,0,6,52,59,2
19160,21,7,11,23,11,17,0,6,43,53,2
19161,21,14,24,23,11,16,3,3,59,56,1
19162,21,12,23,22,15,22,6,0,65,56,1
19163,7,14,19,10,28,9,3,3,57,36,1
19164,13,14,12,16,13,18,3,3,41,51,2
19165,22,22,33,14,19,15,3,3,77,54,1
19166,14,20,16,11,22,21,0,6,52,58,2
19167,16,17,24,12,9,21,0,6,49,56,2
19168,16,17,12,21,6,14,6,0,40,52,2
19169,18,17,19,14,20,14,3,3,60,48,1
19170,12,18,9,11,18,24,6,0,45,53,2
