"","Anime_Name","Start_Month","Start_Year","End_Month","End_Year","Anime_Rating","Anime_Type","Number_Episodes"
"175","Uchuu Senkan Yamato 2199","May",2012,"Oct",2013,8.37,"OVA ",26
"176","Ookami to Koushinryou II","Jul",2009,"Sep",2009,8.36,"TV ",12
"177","Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai","Oct",2018,"Dec",2018,8.36,"TV ",13
"178","Katanagatari","Jan",2010,"Dec",2010,8.36,"TV ",12
"179","Bakemonogatari","Jul",2009,"Jun",2010,8.35,"TV ",15
"180","Boku dake ga Inai Machi","Jan",2016,"Mar",2016,8.35,"TV ",12
"181","Great Pretender","Jun",2020,"Sep",2020,8.35,"ONA ",23
"182","Mobile Suit Gundam: The Origin","Feb",2015,"May",2018,8.35,"OVA ",6
"183","Natsume Yuujinchou: Itsuka Yuki no Hi ni","Feb",2014,"Feb",2014,8.35,"OVA ",1
"184","One Outs","Oct",2008,"Apr",2009,8.35,"TV ",25
"185","Romeo no Aoi Sora","Jan",1995,"Dec",1995,8.35,"TV ",33
"186","Sakamichi no Apollon","Apr",2012,"Jun",2012,8.35,"TV ",12
"187","Shinsekai yori","Sep",2012,"Mar",2013,8.34,"TV ",25
"188","Shirobako","Oct",2014,"Mar",2015,8.34,"TV ",24
"189","Tian Guan Ci Fu","Oct",2020,"Jan",2021,8.34,"ONA ",11
"190","Evangelion: 2.0 You Can (Not) Advance","Jul",2009,"Jul",2009,8.34,"Movie ",1
"191","Gintama: Shiroyasha Koutan","Sep",2008,"Sep",2008,8.34,"Special ",1
"192","Kemono no Souja Erin","Jan",2009,"Dec",2009,8.34,"TV ",50
"193","Major: World Series","Dec",2011,"Jan",2012,8.34,"OVA ",2
"194","Dr. Stone","Jul",2019,"Dec",2019,8.33,"TV ",24
"195","Fate/stay night: Unlimited Blade Works 2nd Season","Apr",2015,"Jun",2015,8.33,"TV ",13
"196","Fate/Zero","Oct",2011,"Dec",2011,8.33,"TV ",13
"197","Given","Jul",2019,"Sep",2019,8.33,"TV ",11
"198","Hunter x Hunter: Original Video Animation","Jan",2002,"Apr",2002,8.33,"OVA ",8
"199","K-On! Movie","Dec",2011,"Dec",2011,8.33,"Movie ",1
"200","Kino no Tabi: The Beautiful World","Apr",2003,"Jul",2003,8.33,"TV ",13
"201","Kuroko no Basket 3rd Season","Jan",2015,"Jun",2015,8.33,"TV ",25
"202","Made in Abyss Movie 2: Hourou Suru Tasogare","Jan",2019,"Jan",2019,8.33,"Movie ",1
"203","Natsume Yuujinchou","Jul",2008,"Sep",2008,8.33,"TV ",13
"204","Natsume Yuujinchou Go Specials","Mar",2017,"Apr",2017,8.33,"Special ",2
"205","NHK ni Youkoso!","Jul",2006,"Dec",2006,8.33,"TV ",24
"206","Shelter","Oct",2016,"Oct",2016,8.33,"Music ",1
"207","Steins;Gate: Oukoubakko no Poriomania","Feb",2012,"Feb",2012,8.33,"Special ",1
"208","Versailles no Bara","Oct",1979,"Sep",1980,8.33,"TV ",40
"209","Neon Genesis Evangelion","Oct",1995,"Mar",1996,8.32,"TV ",26
"210","Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou","Jul",2018,"Jul",2018,8.32,"Special ",1
"211","Bakemono no Ko","Jul",2015,"Jul",2015,8.32,"Movie ",1
"212","Doukyuusei (Movie)","Feb",2016,"Feb",2016,8.32,"Movie ",1
"213","Horimiya","Jan",2021,"Apr",2021,8.32,"TV ",13
"214","Beck","Oct",2004,"Mar",2005,8.31,"TV ",26
"215","Diamond no Ace: Second Season","Apr",2015,"Mar",2016,8.31,"TV ",51
"216","Nodame Cantabile","Jan",2007,"Jun",2007,8.31,"TV ",23
"217","Rurouni Kenshin: Meiji Kenkaku Romantan","Jan",1996,"Sep",1998,8.31,"TV ",94
"218","Stranger: Mukou Hadan","Sep",2007,"Sep",2007,8.31,"Movie ",1
"219","Tsubasa: Tokyo Revelations","Nov",2007,"Mar",2008,8.31,"OVA ",3
"220","No Game No Life: Zero","Jul",2017,"Jul",2017,8.3,"Movie ",1
"221","Planetes","Oct",2003,"Apr",2004,8.3,"TV ",26
